,$,フリガナ,フリガナ2,属性ラベル,,,Word,フリガナ,フリガナ2,属性ラベル
,,,,,,,インキュベーション,インキュベーション,,その他
,,,,,,,フラクトン,フラクトン,,組織名
,,,,,,,MOLTS,モルツ,,組織名
,,,,,,,Yay!,イェイ,,その他
,,,,,,,石濱,イシハマ,,人名
,,,,,,,Bizseek,ビズシーク,,その他
,,,,,,,国立さん,コクリュウサン,,人名
,,,,,,,でりおてんちょー,デリオテンチョー,,人名
,,,,,,,セゾン情報システムズ,セゾンジョウホウシステムズ,,組織名
,,,,,,,シスコ,シスコ,,組織名
,,,,,,,DX推進,ディーエックススイシン,,その他
,,,,,,,上流工程,ジョウリュウコウテイ,,その他
,,,,,,,クレイドル,クレイドル,,組織名
,,,,,,,コムネット,コムネット,,組織名
,,,,,,,クエスト・ワン,クエストワン,,組織名
,,,,,,,Aster Network,アスターネットワーク,,製品名
,,,,,,,オアシス,オアシス,,組織名
,,,,,,,NYC,エヌワイシー,,地名
,,,,,,,テキサス,テキサス,,地名
,,,,,,,Tableau,タブロー,,その他
,,,,,,,BIツール,ビーアイツール,,その他
,,,,,,,DataSpider,データスパイダー,,その他
,,,,,,,WinActor,ウインアクター,,その他
,,,,,,,Fracton Ventures,フラクトンベンチャーズ,,組織名
,,,,,,,赤澤直樹,アカザワナオキ,,人名
,,,,,,,ネクストウェブキャピタル,ネクストウェブキャピタル,,組織名
,,,,,,,渡辺創太,ワタナベソウタ,,人名
,,,,,,,WIL,ウィル,,組織名
,,,,,,,bitbank,ビットバンク,,組織名
,,,,,,,阿久津,アクツ,,人名
,,,,,,,Toreru,トレル,,製品名
,,,,,,,デジタルガレージ社,デジタルガレージシャ,,組織名
,,,,,,,伊藤穣一,イトウジョウイチ,,人名
,,,,,,,PCR検査,ピーシーアールケンサ,,その他
,,,,,,,ウェブスリー,ウェブスリー,,その他
,,,,,,,UNCHAIN,アンチェーン,,その他
,,,,,,,虎ノ門ヒルズ,トラノモンヒルズ,,その他
,,,,,,,ウェブツー,ウェブツー,,その他
,,,,,,,ニトリ,ニトリ,,組織名
,,,,,,,２０２２,二―マルニ―二―,,その他
,,,,,,,ダップ,ダップ,,その他
,,,,,,,ディッセントラライズアプリケーション,ディッセントラライズアプリケーション,,その他
,,,,,,,BEYOND CAFE,ビヨンドカフェ,,組織名
,,,,,,,NNFT,エヌエフティー,,その他
,,,,,,,CIC Tokyo,シーアイシートーキョー,,組織名
,,,,,,,A３ポット,エーサンポット,,その他
,,,,,,,森ビル,モリビル,,組織名
,,,,,,,A４,エーヨン,,その他
,,,,,,,Polygon Hacker House,ポリゴンハッカーハウス,,その他
,,,,,,,HRリスト,エイチアールリスト,,その他
,,,,,,,PA,ピーエー,,その他
,,,,,,,Venture Café Tokyo,ベンチャーカフェトーキョー,ベンチャーカフェトウキョウ,組織名
,,,,,,,フラクトインキュベーション,フラクトインキュベーション,,その他
,,,,,,,BEYOND BAR＋,ビヨンドバープラス,ビヨンドバー,その他
,,,,,,,Ninja DAO,ニンジャダオ,,その他
,,,,,,,エヌビーエートップショット,エヌビーエートップショット,,その他
,,,,,,,LITALICO,リタリコ,,その他
,,,,,,,オーストラリア,オーストラリア,,地名
,,,,,,,鹿児島,カゴシマ,,地名
,,,,,,,レバレジーズ,レバレジーズ,,組織名
,,,,,,,クイック,クイック,,組織名
,,,,,,,JOBS CAMP,ジョブズキャンプ,,その他
,,,,,,,レバ,レバ,,組織名
,,,,,,,コロプラ,コロプラ,,組織名
,,,,,,,N高,エヌコウ,,組織名
,,,,,,,N高等学校,エヌコウトウガッコウ,,組織名
,,,,,,,シャンクス,シャンクス,,その他
,,,,,,,ヒグマ,ヒグマ,,その他
,,,,,,,ホームパス,ホームパス,,その他
,,,,,,,聖徳太子,ショウトクタイシ,,人名
,,,,,,,孫,ソン,,人名
,,,,,,,藤田,フジタ,,人名
,,,,,,,Dr.ヒルルク,ドクターヒルルク,,人名
,,,,,,,チョッパー,チョッパー,,人名
,,,,,,,プロトコロラボ,プロトコロラボ,,組織名
,,,,,,,ホットリンク,ホットリンク,,組織名
,,,,,,,ファイルコイン,ファイルコイン,,製品名
,,,,,,,ハンファ,ハンファ,,組織名
,,,,,,,アクセラレーター,アクセラレーター,,その他
,,,,,,,ConsenSys,コンセンシス,,組織名
,,,,,,,人材育成ラボ,ジンザイイクセーラボ,,製品名
,,,,,,,シックスシグマベンチャーズ,シックスシグマベンチャーズ,,組織名
,,,,,,,メタファクトリ―,メタファクトリー,,その他
,,,,,,,孫泰蔵,ソンタイゾー,,人名
,,,,,,,Mistletoe,ミスルトウ,,組織名
,,,,,,,孫正義,ソンマサヨシ,,人名
,,,,,,,インド,インド,,地名
,,,,,,, Woodstock ,ウッドストック,,組織名
,,,,,,,Sequoia India,セコイアインディア,,組織名
,,,,,,,Polygon Hacker House,ポリゴンハッカーハウス,,製品名
,,,,,,,マーティンセリグマン,マーティンセリグマン,,人名
,,,,,,,町田,マチダ,,地名
,,,,,,,ナイジェリア,ナイジェリア,,地名
,,,,,,,スイス,スイス,,地名
,,,,,,,韓国,カンコク,,地名
,,,,,,,LongHash Ventures,ロングハッシュベンチャーズ,,組織名
,,,,,,,Ethereum, イーサリアム,,製品名
,,,,,,,ロンドンハードフォーク,ロンドンハードフォーク,,その他
,,,,,,,イーサリアムファンデーション,イーサリアムファンデーション,,組織名
,,,,,,,ステーブルコイン,ステーブルコイン,,その他
,,,,,,,エヌジーシー,エヌジーシー,,組織名
,,,,,,,村上隆,ムラカミタカシ,,人名
,,,,,,,ConsenSys,コンセンシス,,組織名
,,,,,,,Fracton Ventures,フラクトンベンチャーズ,,組織名
,,,,,,,ギットコイン,ギットコイン,,その他
,,,,,,,ESNT,イーエスエヌティー,,組織名
,,,,,,,We can DAO it.,ウィーキャンダオイット,,その他
,,,,,,,DAO,ダオ,,組織名
,,,,,,,HanDAO,ハンダオ,,組織名
,,,,,,,LinksDAO,リンクスダオ,,組織名
,,,,,,,EmpireDAO,エンパイアダオ,,組織名
,,,,,,,クールキャッツ,クールキャッツ,,その他
,,,,,,,1K XVentures,ワンケイエックスベンチャーズ,,組織名
,,,,,,,NFTNYC,エヌエフティーエヌワイシー,,その他
,,,,,,,DeFi,ディーファイ,,その他
,,,,,,,Celo,セロ,,その他
,,,,,,,NEAR,ニア,,その他
,,,,,,,CORNER PRINTING,コーナープリンティング,,組織名
,,,,,,,世田谷区,セタガヤク,,地名
,,,,,,,代沢,ダイザワ,,地名
,,,,,,,ラクスル,ラクスル,,組織名
,,,,,,,PayPal,ペイパル,,組織名
,,,,,,,佐川,サガワ,,
,,,,,,,菅,カン,,人名
,,,,,,,オンリーストーリー,オンリーストーリー,,組織名
,,,,,,,DeepL,ディープエル,,その他
,,,,,,,キャリアリンク,キャリアリンク,,組織名
,,,,,,,Slido,スライドゥ,スライド,その他
,,,,,,,アストラスト,アストラスト,,組織名
,,,,,,,GameFi,ゲームファイ,,製品名
,,,,,,,伊藤園,イトーエン,イトウエン,組織名
,,,,,,,Red Bull,レッドブル,,製品名
,,,,,,,ドンキ,ドンキ,,その他
,,,,,,,Aster,アスター,,組織名
,,,,,,,ハッカソン,ハッカソン,,その他
,,,,,,,アグリゲーター,アグリゲーター,,その他
,,,,,,,うまい棒,ウマイボー,ウマイボウ,製品名
,,,,,,,アノニマス,アノニマス,,組織名
,,,,,,,GitHub,ギットハブ,,製品名
,,,,,,,新橋,シンバシ,,地名
,,,,,,,六本木,ロッポンギ,,地名
,,,,,,,サンシャイン60,サンシャインロクジュウ,,その他
,,,,,,,下北沢,シモキタザワ,シモキタ,地名
,,,,,,,秋梨,アキナシ,,製品名
,,,,,,,秋りんご,アキリンゴ,,製品名
,,,,,,,冬のみかん,フユノミカン,,製品名
,,,,,,,エンタープライズ・アジャイル,エンタープライズアジャイル,,その他
,,,,,,,キュレーションズ,キュレーションズ,,組織名
,,,,,,,ベンダーサービス,ベンダーサービス,,組織名
,,,,,,,セブンーイレブン,セブンイレブン,,組織名
,,,,,,,スマホ内線化,スマホナイセンカ,,その他
,,,,,,,UI,ユーアイ,ユーザーインターフェース,その他
,,,,,,,アロミクス,アロミクス,,組織名
,,,,,,,PMO,ピーエムオー,,その他
,,,,,,,ワークフロー,ワークフロー,,その他
,,,,,,,Styleflow,スタイルフロー,,製品名
,,,,,,,サントリー,サントリー,,組織名
,,,,,,,ハーベストループ,ハーベストループ,,その他
,,,,,,,TDC,ティーディーシー,,組織名
,,,,,,,チロルチョコ,チロルチョコ,,製品名
,,,,,,,VC,ブイシー,ベンチャーキャピタル,その他
,,,,,,,BUIDL　ASIA,ビルドアジア,,その他
,,,,,,,ETH　SEOUL,イーサソウル,,その他
,,,,,,,Protocol　Labs,プロトコルラボ,,組織名
,,,,,,,FileCoin,ファイルコイン,,その他
,,,,,,,Pro,プロ,,製品名
,,,,,,,Air,エア,,製品名
,,,,,,,ディップ株式会社,ディップカブシキガイシャ,,組織名
,,,,,,,Arrow Capital,アローキャピタル,,組織名
,,,,,,,Klayton,クレイトン,,その他
,,,,,,,グローバルデイ,グローバルデイ,,その他
,,,,,,,森タワー,モリタワー,,その他
,,,,,,,ADMリスト,エーディーエムリスト,,その他
,,,,,,,The Blockcrunch Podcast,ブロッククランチポッドキャスト,,組織名
,,,,,,,日本メディカル,二ホンメディカル,,組織名
,,,,,,,虎ノ門ヒルズ駅,トラノモンヒルズエキ,,その他
,,,,,,,ラクスパートナーズ,ラクスパートナーズ,,組織名
,,,,,,,アビタシオン,アビタシオン,,組織名
,,,,,,,oneICHI,ワンイチ,,その他
,,,,,,,Gnosis,ノーシス,,その他
,,,,,,,B2B,バックトゥベーシックス,,その他
,,,,,,,ディードス攻撃,ディードスコウゲキ,,その他
,,,,,,,いぶりがっこ,イブリガッコ,,製品名
,,,,,,,白州,ハクシュー,,製品名
,,,,,,,ソウルトゥソウル,ソウルトゥソウル,,その他
,,,,,,,ミニマリスト,ミニマリスト,,その他
,,,,,,,スティーブ・ジョブズ,スティーブジョブズ,,人名
,,,,,,,イッセイ ミヤケ,イッセーミヤケ,,人名
,,,,,,,サンビー,サンビー,,組織名
,,,,,,,ツール・ド・フランス,ツールドフランス,,その他
,,,,,,,オリンピック,オリンピック,,その他
,,,,,,,Vivino,ヴィヴィーノ,,製品名
,,,,,,,LEGO,レゴ,,組織名
,,,,,,,宇治産業イースト株式会社,ウジサンギョウイーストカブシキガイシャ,,組織名
,,,,,,,合同会社ライドオン,ゴウドウガイシャライドオン,,組織名
,,,,,,,スマートビルディング,スマートビルディング,,その他
,,,,,,,チラCEO,チラシーイーオー,,製品名
,,,,,,,ニューラルネットワーク,ニューラルネットワーク,,その他
,,,,,,,ジーピーユー,ジーピーユー,,その他
,,,,,,,カグル,カグル,,その他
,,,,,,,Blocto Wallet,ブロクトウオレット,,製品名
,,,,,,,バンガロール,バンガロール,,地名
,,,,,,,フォトシンス,フォトシンス,,組織名
,,,,,,,KBW,ケービーダブリュー,,組織名
,,,,,,,SLSV,エスエルエスブイ,,その他
,,,,,,,マルウェア,マルウェア,,その他
,,,,,,,特徴量,トクチョウリョウ,,その他
,,,,,,,三井不動産,ミツイフドウサン,,組織名
,,,,,,,尼崎,アマガサキ,,地名
,,,,,,,Apple Watch,アップルウォッチ,,製品名
,,,,,,,エイチアンドエム,エイチアンドエム,,組織名
,,,,,,,URL鍵,ユーアールエルカギ,,その他
,,,,,,,KING OF TIME,キングオブタイム,,製品名
,,,,,,,ACALL,アコール,,製品名
,,,,,,,KDDI,ケーディーディーアイ,,組織名
,,,,,,,山崎木材,ヤマザキモクザイ,,組織名
,,,,,,,魔法のリノベ,マホウノリノベ,,製品名
,,,,,,,赤松,アカマツ,,組織名
,,,,,,,末永建設,スエナガケンセツ,,組織名
,,,,,,,丸明建設,マルメイケンセツ,マルメーケンセツ,組織名
,,,,,,,ディーンフジオカ,ディーンフジオカ,,人名
,,,,,,,塚本建設,ツカモトケンセツ,,組織名
,,,,,,,ティーガイア,ティーガイア,,組織名
,,,,,,,リセア,リセア,,製品名
,,,,,,,Contrex,コントレックス,,製品名
,,,,,,,ミーストア　,ミーストア,,
,,,,,,,津山建設,ツヤマケンセツ,,組織名
,,,,,,,GEM by moto,ヨシダソクリョウ,ヨシダソクリョー,組織名
,,,,,,,千葉麻里絵,チバマリエ,,人名
,,,,,,,おいしさの錯覚,オイシサノサッカク,,製品名
,,,,,,,メイド喫茶,メイドキッサ,,その他
,,,,,,,IDS,アイディーエス,,組織名
,,,,,,,ハロー効果,ハローコーカ,,その他
,,,,,,,シルバー産業新聞,シルバーサンギョウシンブン,,製品名
,,,,,,,富士通パーソナルズ,フジツウパーソナルズ,,組織名
,,,,,,,一般社団法人MEAS,イッパンシャダンホウジンミース,,組織名
,,,,,,,角ハイボール,カクハイボール,,製品名
,,,,,,,セコム,セコム,,組織名
,,,,,,,角瓶,カクビン,,製品名
,,,,,,,フランス,フランス,,地名
,,,,,,,ニュージーランド,ニュージーランド,,地名
,,,,,,,ORBIS,オルビス,,組織名
,,,,,,,資生堂,シセイドー,,組織名
,,,,,,,カネボウ,カネボー,,組織名
,,,,,,,ユニボ,ユニボ,,製品名
,,,,,,,富士通,フジツウ,,組織名
,,,,,,,グリコ,グリコ,,組織名
,,,,,,,敷島電機,シキシマデンキ,,組織名
,,,,,,,敷島機器,シキシマキキ,,組織名
,,,,,,,三葉化工,サンヨウカコウ,サンヨーカコー,組織名
,,,,,,,BTG,ビーティージー,,その他
,,,,,,,鈴木コンペ,スズキコンペ,,組織名
,,,,,,,翔栄クリエイト,ショウエイクリエイト,,組織名
,,,,,,,シーテック,シーテック,,組織名
,,,,,,,中電,チュウデン,チューデン,チューデン
,,,,,,,アドバンテック,アドバンテック,,組織名
,,,,,,,徳洲会,トクシュウカイ,,組織名
,,,,,,,開閉所,カイヘイショ,カイヘ―ショ,その他
,,,,,,,中部電力パワーグリッド,チュウブデンリョクパワーグリッド,チューブデンリョクパワーグリッド,組織名
,,,,,,,グランドレベル,グランドレベル,,その他
,,,,,,,ダイキアクシス,ダイキアクシス,,組織名
,,,,,,,チャリンチャリンビジネス,チャリンチャリンビジネス,,その他
,,,,,,,久万広域森林組合,クマコウイキシンリンクミアイ,,組織名
,,,,,,,イクサー,イクサー,,組織名
,,,,,,,浜松,ハママツ,,地名
,,,,,,,NTTコミュニケーションズ,エヌティーティーコミュニケーションズ,,組織名
,,,,,,,ファイナンス・クローズ,ファイナンス・クローズ,,その他
,,,,,,,エスティローダー,エスティローダー,,製品名
,,,,,,, S'UIMIN,スイミン,,組織名
,,,,,,,O&M,オーアンドエム,,その他
,,,,,,,系統連系,ケイトウレンケイ,,その他
,,,,,,,OPEX,オペックス,,その他
,,,,,,,アルベルトアインシュタイン,アルベルトアインシュタイン,,人名
,,,,,,,農振除外,ノウシンジョガイ,ノーシンジョガイ,その他
,,,,,,,田崎真也,タザキシンヤ,,人名
,,,,,,,バーミヤン,バーミヤン,,組織名
,,,,,,,アロマビット,アロマビット,,組織名
,,,,,,,イオンアグリ創造,イオンアグリソウゾウ,,組織名
,,,,,,,チクマクス,チクマクス,,組織名
,,,,,,,旭川市,アサヒカワ,,地名
,,,,,,,神奈川県,カナガワ,,地名
,,,,,,,横浜・八景島シーパラダイス,ヨコハマハッケージマシーパラダイス,,地名
,,,,,,,金沢区,カナザワク,,地名
,,,,,,,関東学院大学,カントーガクインダイガク,,組織名
,,,,,,,金沢八景,カナザワハッケー,,地名
,,,,,,,関内,カンナイ,,地名
,,,,,,,小田原,オダワラ,,地名
,,,,,,,京浜東北線,ケーヒントーホクセン,,その他
,,,,,,,"SIG Japan, LLC",エスアイジージャパン,,組織名
,,,,,,,Susquehanna International Group,スクエハナインターナショナルグループ,,組織名
,,,,,,,青梅,オウメ,,地名
,,,,,,,インフォコム,インフォコム,,組織名
,,,,,,,クローリング,クローリング,,その他
,,,,,,,様式9,ヨウシキキュー,ヨウシキキュウ,製品名
,,,,,,,厚生省,コウセイショウ,,組織名
,,,,,,,カーボンフューチャー,カーボンフューチャー,,製品名
,,,,,,,デジタルノマド,デジタルノマド,,その他
,,,,,,,QUOカード,クオカード,,製品名
,,,,,,,大成建設,タイセイケンセツ,,組織名
,,,,,,,LLinear,リニア,,その他
,,,,,,,多摩,タマ,,地名
,,,,,,,昭島,アキシマ,,地名
,,,,,,,町田,マチダ,,地名
,,,,,,,東久留米,ヒガシクルメ,,地名
,,,,,,,大成ロテック,タイセイロテック,,組織名
,,,,,,,ツヤマ,ツヤマ,,組織名
,,,,,,,Haun Ventures,ハウン・ベンチャーズ,,組織名
,,,,,,,Chris,クリス,,人名
,,,,,,,sCBDC,エスシービーディーシー,,その他
,,,,,,,PCA,ピーシーエー,,その他
,,,,,,,檜原村,ヒノハラムラ,,地名
,,,,,,,楢原,ナラハラ,,地名
,,,,,,,ピクトグラム,ピクトグラム,,その他
,,,,,,,太平電業,タイヘイテンギョウ,,組織名
,,,,,,,マテラン,マテラン,,組織名
,,,,,,,三井住友銀行,ミツイスミトモギンコウ,,組織名
,,,,,,,バイオリファイナリー,バイオリファイナリー,,その他
,,,,,,,ARES,アレス,,組織名
,,,,,,,3M,スリーエム,,組織名
,,,,,,,富士興業,フジコウギョウ,フジコーギョー,組織名
,,,,,,,ディスハウス,ディスハウス,,組織名
,,,,,,,エフイー,エフイー,,組織名
,,,,,,,日本フォレスト,二ホンフォレスト,,組織名
,,,,,,,インテグラル錠,インテグラルジョウ,,その他
,,,,,,,セヤマ,セヤマ,,組織名
,,,,,,,ファミコン,ファミコン,,製品名
,,,,,,,フォレストエナジー,フォレストエナジー,,組織名
,,,,,,,新建ハウジング,シンケンハウジング,,組織名
,,,,,,,F.E,エフイー,,組織名
,,,,,,,プロディアイス,プロディアイス,,組織名
,,,,,,,YOUTRUST,ユートラスト,,組織名
,,,,,,,SPC,エスピーシー,,組織名
,,,,,,,グリー,グリー,,組織名
,,,,,,,ウォンテッドリー,ウォンテッドリー,,組織名
,,,,,,,ワークポート,ワークポート,,組織名
,,,,,,,レンダー,レンダー,,組織名
,,,,,,,zenna,ゼンナ,,組織名
,,,,,,,e-Rad,エラッド,,その他
,,,,,,,栃木信用金庫,トチギシンヨウキンコ,,組織名
,,,,,,,interviewz,サンビ,,製品名
,,,,,,,ENS,イーエヌエス,,その他
,,,,,,,真さん,マコトサン,,人名
,,,,,,,イーサリアムファンデーション,イーサリアムファンデーション,,組織名
,,,,,,,宮口あや,ミヤグチアヤ,,人名
,,,,,,,ギットコイン,ギットコイン,,組織名
,,,,,,,UXD,ユーエックスディー,,組織名
,,,,,,,ポルカドット,ポルカドット,,その他
,,,,,,,創太君,ソウタクン,,人名
,,,,,,,,,,組織名
,,,,,,,Laravel,ララベル,,その他
,,,,,,,Solana,ソラナ,,その他
,,,,,,,イーサ,イーサ,,その他
,,,,,,,ティア,ティア,,その他
,,,,,,,サービスカオスマップ,サービスカオスマップ,,その他
,,,,,,,Daeu,テウ,,組織名
,,,,,,,マイクロモビリティ,マイクロモビリティ,,製品名
,,,,,,,SpaceDAO,スペースダオ,,組織名
,,,,,,,Superfluid,スーパーフルード,,組織名
,,,,,,,林野庁,リンヤチョウ,リンヤチョー,組織名
,,,,,,,グリーンフィールド,グリーンフィールド,,組織名
,,,,,,,メタウエブ,メタウエブ,,組織名
,,,,,,,AWS,エーダブリューエス,,その他
,,,,,,,国土利用計画法　,コクドリヨウケイカクホウ,コクドリヨーケイカクホー,その他
,,,,,,,黒石,クロイシ,,地名
,,,,,,,山崎,ヤマザキ,,組織名
,,,,,,,森林管理局,シンリンカンリキョク,,組織名
,,,,,,,森林管理署,シンリンカンリショ,,組織名
,,,,,,,吉田測量,ヨシダソクリョウ,ヨシダソクリョー,組織名
,,,,,,,ジザイエ,ジザイエ,,組織名
,,,,,,,エスケアデザイン,エスケアデザイン,,組織名
,,,,,,,01テクノロジーズ,ゼロイチテクノロジーズ,,組織名
,,,,,,,ゼロイチラボ,ゼロイチラボ,,組織名
,,,,,,,VPoE,ブイピーオーイー,,その他
,,,,,,,松本峻,マツモトリョウ,,人名
,,,,,,,10X,テンエックス,,組織名
,,,,,,,LayerX,レイヤーエックス,,組織名
,,,,,,,ゆめみ,ユメミ,,組織名
,,,,,,,エクサウィザーズ,エクサウィザーズ,,組織名
,,,,,,,アンドパッド,アンドパッド,,組織名
,,,,,,,ビービット,ビービット,,組織名
,,,,,,,OriHime,オリヒメ,,製品名
,,,,,,,Dawncafe,ドーンカフェ,,組織名
,,,,,,,ガスト,ガスト,,組織名
,,,,,,,みなとみらい,みなとみらい,,地名
,,,,,,,神奈川大学,神奈川大学,,組織名
,,,,,,,教育職員免許状,キョーインショクインメンキョジョー,,その他
,,,,,,,Sales Video Analytics,セールスビデオアナリティクス,,製品名
,,,,,,,千葉経済大学,チバケーザイダイガク,,組織名
,,,,,,,千葉経済学園,チバケーザイガクエン,,組織名
,,,,,,,ストーリーズ,ストーリーズ,,組織名
,,,,,,,ウィルオブ・ワーク,ウィルオブワーク,,組織名
,,,,,,,USTV,ユーエスティーヴィー,,組織名
,,,,,,,satori株式会社,サトリカブシキガイシャ,,組織名
,,,,,,,植山浩介,ウエヤマコースケ,,人名
,,,,,,,Investment DAO,インベストメントダオ,,組織名
,,,,,,,Decrypt,デクリプト,,組織名
,,,,,,,Inazuma Capital,イナズマキャピタル,,組織名
,,,,,,,シーエヌピー,シーエヌピー,,組織名
,,,,,,,イケハヤ,イケハヤ,,人名
,,,,,,,スタークネット,スタークネット,,その他
,,,,,,,DX推進,ディーエックススイシン,,その他
,,,,,,,池袋,イケブクロ,,地名
,,,,,,,旭川大学,アサヒカワダイガク,,組織名
,,,,,,,ディーファイエコシステム,ディーファイエコシステム,,その他
,,,,,,,トルネードキャッシュ,トルネードキャッシュ,,その他
,,,,,,,OPEN8,オープンエイト,,組織名
,,,,,,,西日本,ニシニホン,,その他
,,,,,,,Wikipedia,ウィキペディア,,その他
,,,,,,,ServiceNow,サービスナウ,,その他
,,,,,,,Microsoft,マイクロソフト,,組織名
,,,,,,,サイボウズ,サイボウズ,,製品名
,,,,,,,京都大学,キョートダイガク,,組織名
,,,,,,,ME,エムイー,,その他
,,,,,,,Garoon,ガルーン,,製品名
,,,,,,,Microsoft365,マイクロソフトサンロクゴ,,製品名
,,,,,,,SharePoint,シェアポイント,,製品名
,,,,,,,AON,エーオン,,組織名
,,,,,,,4G,フォージー,,その他
,,,,,,,チェンジドットオルグ,チェンジドットオルグ,,その他
,,,,,,,ファセブ,ファセブ,,地名
,,,,,,,USDC,ユーエスディーシー,,その他
,,,,,,,USDT,ユーエスディーティー,,その他
,,,,,,,Shop Now,ショップナウ,,その他
,,,,,,,SIer,エスアイヤー,,その他
,,,,,,,Thether,テザー,,組織名
,,,,,,,DYDX, ディーワイディーエックス,,組織名
,,,,,,,CIrcle,サークル,,組織名
,,,,,,,リソース,リソース,,その他
,,,,,,,データ東北,データ東北,,組織名
,,,,,,,青森銀行,,,組織名
,,,,,,,Chainalysis,チェイナリシス,,組織名
,,,,,,,ステーブルコイン,ステーブルコイン,,その他
,,,,,,,CLIFF,クリフ,,その他
,,,,,,,TikTok,ティックトック,,製品名
,,,,,,,Coin Center,コインセンター,,組織名
,,,,,,,フレッツ光,フレッツヒカリ,,製品名
,,,,,,,ソフトバンク光,ソフトバンクヒカリ,,製品名
,,,,,,,ビジモ光,ビジモヒカリ,,製品名
,,,,,,,BizAir,ビズエアー,,製品名
,,,,,,,Open Sea,オープンシー,,その他
,,,,,,,プロパンガス,プロパンガス,,組織名
,,,,,,,Uniswap,ユニスワップ,,その他
,,,,,,,Wolt,ウォルト,,組織名
,,,,,,,どうぶつでんき,ドウブツデンキ,,組織名
,,,,,,,シナジーマーケティング,シナジーマーケティング,,組織名
,,,,,,,Lazarus,ラザルス,,組織名
,,,,,,,網屋,アミヤ,,組織名
,,,,,,,アクシ―ブロックチェーン,アクシ―ブロックチェーン,,その他
,,,,,,,大手町,オオテマチ,,地名
,,,,,,,ケイパビリティ,ケイパビリティ,,その他
,,,,,,,アシスト,アシスト,,組織名
,,,,,,,Dojo,ドージョー,,製品名
,,,,,,,Smooth File,スムースファイル,,製品名
,,,,,,,而今,ジコン,,製品名
,,,,,,,新政,アラマサ,,製品名
,,,,,,,悦凱陣,ヨロコビガイジン,,製品名
,,,,,,,セーフィ,セーフィ,,組織名
,,,,,,,Chromebook,クロームブック,,製品名
,,,,,,,UI銀行,ユーアイギンコウ,,組織名
,,,,,,,シーエンス,シーエンス,,組織名
,,,,,,,ICT教育,アイシーティーキョーイク,,その他
,,,,,,,センチュリー,センチュリー,,組織名
,,,,,,,QA,キューエー,,その他
,,,,,,,コミレター,コミレター,,その他
,,,,,,,CP,シーピー,,その他
,,,,,,,アレンジメントフィー,アレンジメントフィー,,その他
,,,,,,,M365,エムサンロクゴ,,製品名
,,,,,,,M&A,エムアンドエー,,その他
,,,,,,,BM,ビーエム,,その他
,,,,,,,日清食品,ニッシンショクヒン,,組織名
,,,,,,,インファスト,インファスト,,組織名
,,,,,,,IWC,アイダブルシー,,組織名
,,,,,,,エン・ジャパン,エンジャパン,,組織名
,,,,,,,東京海上日動,トーキョーカイジョーニチドー,,組織名
,,,,,,,TC,ティーシー,トウキョウセンチュリー,組織名
,,,,,,,アイタスクラウド,アイタスクラウド,,製品名
,,,,,,,中部電力,チュウブデンリョク,チューブデンリョク,組織名
,,,,,,,SA,エスエー,,組織名
,,,,,,,DS&C,ディーエスアンドシー,,組織名
,,,,,,,ＡＭ　,エーエム,アセットマネジメント,その他
,,,,,,,新生堂薬局,シンセイドウヤッキョク,シンセイドーヤッキョク,組織名
,,,,,,,そうすけ,ソウスケ,,人名
,,,,,,,青汁王子,アオジルオウジ,,人名
,,,,,,,メロン,メロン,,組織名
,,,,,,,SSA,エスエスエー,,組織名
,,,,,,,HCA,エイチシーエー,エッチシーエー,組織名
,,,,,,,DEX,ダックス,,その他
,,,,,,,SHA,エスエイチエー,エスエッチエー,その他
,,,,,,,静ガス,シズガス,,組織名
,,,,,,,KYC,ケイワイシー,,その他
,,,,,,,封神演義,ホウシンエンギ,,その他
,,,,,,,太公望,タイコウボウ,,人名
,,,,,,,INFORICH,インフォリッチ,,組織名
,,,,,,,nene,ネネ,,組織名
,,,,,,,御前崎,オマエザキ,,地名
,,,,,,,バイオマス発電,バイオマスハツデン,,その他
,,,,,,,ウルマップ,ウルマップ,,組織名
,,,,,,,リンクス,リンクス,,組織名
,,,,,,,Maple　Finance,メープルファイナンス,,組織名
,,,,,,,Goldfinch,ゴールドフィンシュ,,組織名
,,,,,,,オンリーストーリー,オンリーストーリー,,組織名
,,,,,,,Cephei,セファイ,,その他
,,,,,,,FTX,エフティーエックス,,その他
,,,,,,,千総建,チソーケン,チソウケン,組織名
,,,,,,,プロファイ,プロファイ,,その他
,,,,,,,ランニング学会,ランニングガッカイ,,組織名
,,,,,,,認定ランニング指導員,ニンテイランニングシドウイン,ニンテーランニングシド―イン,その他
,,,,,,,あしぎん総研,アシギンソウケン,,組織名
,,,,,,,Messenger,メッセンジャー,,その他
,,,,,,,シンクタンク,シンクタンク,,組織名
,,,,,,,ポートフォリオ,ポートフォリオ,,その他
,,,,,,,MBM,エムビーエム,,その他
,,,,,,,フォトマップ,フォトマップ,,その他
,,,,,,,オルフェ,オルフェ,,組織名
,,,,,,,エスアイ総研,エスアイソウケン,,組織名
,,,,,,,ビュルガーコンサルティング,ビュルガー,,組織名
,,,,,,,スポーツ医学,スポーツイガク,,その他
,,,,,,,日本陸連,二ホンリクレン,,組織名
,,,,,,,セカンドウインド,セカンドウインド,,その他
,,,,,,,ランナーズハイ,ランナーズハイ,,その他
,,,,,,,ドーパミン,ドーパミン,,その他
